COLREG_Type,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
Overtaking,372747000,12/3/17 9:00:16,33.64864333,-120.2752267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:00:36,33.64869167,-120.2747667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:01:00,33.64874167,-120.2743067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:01:20,33.64879167,-120.2738467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:01:40,33.64884000,-120.2733867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:02:00,33.64889000,-120.2729267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:03:16,33.64894000,-120.2724667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:03:36,33.64898833,-120.2720067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:04:00,33.64903833,-120.2715467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:04:20,33.64908833,-120.2710867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:04:40,33.64913667,-120.2706267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:05:00,33.64918667,-120.2701667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:06:16,33.64923667,-120.2697067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:06:36,33.64928500,-120.2692467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:07:00,33.64933500,-120.2687867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:07:20,33.64938500,-120.2683267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:07:40,33.64943333,-120.2678667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:08:00,33.64948333,-120.2674067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:09:16,33.64953333,-120.2669467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:09:36,33.64958167,-120.2664867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:10:00,33.64963167,-120.2660267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:10:20,33.64968000,-120.2655667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:10:40,33.64973000,-120.2651067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:11:00,33.64978000,-120.2646467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:12:16,33.64982833,-120.2641867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:12:36,33.64987833,-120.2637267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:13:00,33.64992833,-120.2632667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:13:20,33.64997667,-120.2628067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:13:40,33.65002667,-120.2623467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:14:00,33.65007667,-120.2618867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:15:16,33.65012500,-120.2614267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:15:36,33.65017500,-120.2609667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:16:00,33.65022500,-120.2605067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:16:20,33.65027333,-120.2600467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:16:40,33.65032333,-120.2595867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:17:00,33.65037333,-120.2591267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:18:16,33.65042167,-120.2586667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:18:36,33.65047167,-120.2582067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:19:00,33.65052167,-120.2577467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:19:20,33.65057000,-120.2572867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:19:40,33.65062000,-120.2568267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:20:00,33.65067000,-120.2563667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:21:16,33.65071833,-120.2559067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:21:36,33.65076833,-120.2554467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:22:00,33.65081833,-120.2549867,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:22:20,33.65086667,-120.2545267,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:22:40,33.65091667,-120.2540667,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:23:00,33.65096667,-120.2536067,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
Overtaking,372747000,12/3/17 9:24:16,33.65101500,-120.2531467,0,0,0, CYGNUS LEADER, IMO9381249, 3EKK5,1004,,199.94,32.26,10,
